Sparse VM telemetry report
================================================================================
VMs assessed: 1,500
Positive-coverage Q1: 553.00 readings
Positive-coverage Q3: 561.00 readings
IQR: 8.00 readings
Lower IQR fence: 541.00 readings
VMs dropped: 253
  - No readings: 1
  - Below lower IQR fence with readings: 252
VM master rows retained: 1,247
Utilization readings retained: 696,689

Dropped VMs:
   vm_id  telemetry_readings                                                            drop_reason  drop_for_sparse_telemetry
vm_01497                   0 No utilization readings; no behavioural fingerprint can be calculated.                       True
vm_01196                   2            Reading count falls below the data-derived lower IQR fence.                       True
vm_01329                   3            Reading count falls below the data-derived lower IQR fence.                       True
vm_00285                   6            Reading count falls below the data-derived lower IQR fence.                       True
vm_01207                  11            Reading count falls below the data-derived lower IQR fence.                       True
vm_01232                  12            Reading count falls below the data-derived lower IQR fence.                       True
vm_01282                  12            Reading count falls below the data-derived lower IQR fence.                       True
vm_00727                  14            Reading count falls below the data-derived lower IQR fence.                       True
vm_01171                  14            Reading count falls below the data-derived lower IQR fence.                       True
vm_00003                  15            Reading count falls below the data-derived lower IQR fence.                       True
vm_00297                  17            Reading count falls below the data-derived lower IQR fence.                       True
vm_00289                  19            Reading count falls below the data-derived lower IQR fence.                       True
vm_01351                  20            Reading count falls below the data-derived lower IQR fence.                       True
vm_00080                  22            Reading count falls below the data-derived lower IQR fence.                       True
vm_00768                  26            Reading count falls below the data-derived lower IQR fence.                       True
vm_00729                  27            Reading count falls below the data-derived lower IQR fence.                       True
vm_01200                  28            Reading count falls below the data-derived lower IQR fence.                       True
vm_01421                  30            Reading count falls below the data-derived lower IQR fence.                       True
vm_01328                  32            Reading count falls below the data-derived lower IQR fence.                       True
vm_00145                  32            Reading count falls below the data-derived lower IQR fence.                       True
vm_00333                  34            Reading count falls below the data-derived lower IQR fence.                       True
vm_00209                  34            Reading count falls below the data-derived lower IQR fence.                       True
vm_01116                  41            Reading count falls below the data-derived lower IQR fence.                       True
vm_00537                  42            Reading count falls below the data-derived lower IQR fence.                       True
vm_00681                  43            Reading count falls below the data-derived lower IQR fence.                       True
vm_00759                  48            Reading count falls below the data-derived lower IQR fence.                       True
vm_01138                  52            Reading count falls below the data-derived lower IQR fence.                       True
vm_00816                  54            Reading count falls below the data-derived lower IQR fence.                       True
vm_01154                  54            Reading count falls below the data-derived lower IQR fence.                       True
vm_00854                  55            Reading count falls below the data-derived lower IQR fence.                       True
vm_00520                  55            Reading count falls below the data-derived lower IQR fence.                       True
vm_00027                  60            Reading count falls below the data-derived lower IQR fence.                       True
vm_00349                  60            Reading count falls below the data-derived lower IQR fence.                       True
vm_00891                  61            Reading count falls below the data-derived lower IQR fence.                       True
vm_00190                  62            Reading count falls below the data-derived lower IQR fence.                       True
vm_00542                  63            Reading count falls below the data-derived lower IQR fence.                       True
vm_01073                  64            Reading count falls below the data-derived lower IQR fence.                       True
vm_00810                  65            Reading count falls below the data-derived lower IQR fence.                       True
vm_01020                  65            Reading count falls below the data-derived lower IQR fence.                       True
vm_00246                  66            Reading count falls below the data-derived lower IQR fence.                       True
vm_01065                  66            Reading count falls below the data-derived lower IQR fence.                       True
vm_00238                  67            Reading count falls below the data-derived lower IQR fence.                       True
vm_00908                  68            Reading count falls below the data-derived lower IQR fence.                       True
vm_01276                  75            Reading count falls below the data-derived lower IQR fence.                       True
vm_00881                  77            Reading count falls below the data-derived lower IQR fence.                       True
vm_01382                  80            Reading count falls below the data-derived lower IQR fence.                       True
vm_00279                  81            Reading count falls below the data-derived lower IQR fence.                       True
vm_00396                  82            Reading count falls below the data-derived lower IQR fence.                       True
vm_00346                  84            Reading count falls below the data-derived lower IQR fence.                       True
vm_01004                  84            Reading count falls below the data-derived lower IQR fence.                       True
vm_00678                  87            Reading count falls below the data-derived lower IQR fence.                       True
vm_00082                  88            Reading count falls below the data-derived lower IQR fence.                       True
vm_00926                  88            Reading count falls below the data-derived lower IQR fence.                       True
vm_01148                  92            Reading count falls below the data-derived lower IQR fence.                       True
vm_00529                  96            Reading count falls below the data-derived lower IQR fence.                       True
