vm_id,vm_category,core_count_bucket,memory_bucket,provisioned_vcpu,provisioned_memory_gb,telemetry_readings,cpu_typical_utilization_pct,cpu_peak_utilization_pct,cpu_utilization_std_pct,cpu_idle_fraction,cpu_saturation_fraction,memory_typical_utilization_pct,memory_peak_utilization_pct,memory_utilization_std_pct,memory_idle_fraction,memory_saturation_fraction,business_hours_cpu_uplift_pct_points,cpu_burstiness_raw,cpu_burstiness_capped
vm_00000,Interactive,large_8_16,xxlarge_64_128,8,64,555,36.71344144144144,64.77,6.263247610152207,0.0,0.0,37.98464864864865,47.27,1.0788861471757174,0.0,0.0,2.371497027732204,1.7642039933333202,1.7642039933333202
vm_00001,Delay-Insensitive,xlarge_16_32,xxlarge_64_128,16,64,557,56.01319569120287,100.0,10.905365809465298,0.0,0.05745062836624776,47.48664272890485,61.47,2.3362164355295887,0.0,0.0,1.4489854726051021,1.7852936038731577,1.7852936038731577
vm_00002,Delay-Insensitive,large_8_16,medium_8_16,8,8,557,14.043123877917415,31.77,3.8928910407934576,0.008976660682226212,0.0,75.83664272890485,82.02,0.8640431372281722,0.0,0.0,-0.3451051721845477,2.262317150812706,2.262317150812706
vm_00004,Interactive,large_8_16,small_4_8,8,4,555,27.124486486486486,88.32,19.58601930504965,0.11171171171171171,0.0,60.80544144144144,78.39,3.641546307126119,0.0,0.0,30.754163459996793,3.256098508777349,3.256098508777349
vm_00005,Interactive,medium_4_8,xlarge_32_64,4,32,560,35.706089285714285,63.89,6.302990875868407,0.0,0.0,32.476142857142854,37.73,1.8183409000870006,0.0,0.0,2.5760639190393775,1.7893306513844929,1.7893306513844929
vm_00006,Interactive,small_2_4,xxlarge_64_128,2,64,561,35.55231729055258,63.42,5.967004660679886,0.0,0.0,30.28836007130125,36.29,1.0397689400480123,0.0,0.0,0.9308771355203973,1.783849966282023,1.783849966282023
vm_00007,Interactive,xxlarge_32_64,medium_8_16,32,8,560,27.004160714285714,78.28,19.89469662638907,0.11071428571428571,0.0,57.53925,75.33,2.752251862213754,0.0,0.0,27.943327806944826,2.8988125507114315,2.8988125507114315
vm_00008,Delay-Insensitive,large_8_16,xlarge_32_64,8,32,564,14.01549645390071,27.94,4.0648837449142015,0.0070921985815602835,0.0,75.29654255319149,81.85,1.437991097966443,0.0,0.0,-0.5670544454961544,1.993507692852643,1.993507692852643
vm_00009,Interactive,small_2_4,xlarge_32_64,2,32,559,4.931914132379249,15.26,2.4137283033437393,0.5330948121645797,0.0,19.493828264758495,22.77,0.7728834058152739,0.0,0.0,-0.421523457116427,3.094133350743941,3.094133350743941
vm_00010,Interactive,xlarge_16_32,medium_8_16,16,8,560,35.29210714285715,62.02,5.97140920815638,0.0,0.0,25.228125,34.02,1.5210677513522897,0.0,0.0,1.0424953886692947,1.7573334385774235,1.7573334385774235
vm_00011,Delay-Insensitive,large_8_16,xxlarge_64_128,8,64,563,54.89333925399645,100.0,11.408991297386809,0.0,0.05328596802841918,46.889698046181174,71.86,5.976675430113116,0.0,0.0,-0.10994143503554454,1.8217146444178034,1.8217146444178034
vm_00012,Interactive,xxlarge_32_64,xlarge_32_64,32,32,561,5.067344028520499,13.75,2.5059536047048097,0.48841354723707664,0.0,17.975935828877006,22.0,0.8042249304341772,0.0,0.0,0.10400816497435272,2.7134530283736344,2.7134530283736344
vm_00013,Interactive,small_2_4,xlarge_32_64,2,32,559,5.079033989266547,14.2,2.464032332895073,0.4883720930232558,0.0,13.100143112701252,18.16,0.791704966307272,0.0,0.0,-0.2126231150479807,2.795807240118626,2.795807240118626
vm_00014,Interactive,small_2_4,medium_8_16,2,8,564,35.6654609929078,60.64,5.9918809751317115,0.0,0.0,37.34994680851064,44.11,1.4574002367559773,0.0,0.0,0.41177703149514855,1.7002443908424025,1.7002443908424025
vm_00015,Interactive,small_2_4,medium_8_16,2,8,565,34.11582300884955,100.0,29.377945367420978,0.1752212389380531,0.033628318584070796,25.488902654867257,35.57,3.653195948436138,0.0,0.0,42.52182250109743,2.931191194597893,2.931191194597893
vm_00016,Delay-Insensitive,xlarge_16_32,large_16_32,16,16,560,13.528732142857143,31.47,4.014091101355906,0.02142857142857143,0.0,86.29185714285715,89.92,0.8146374113276269,0.0,0.0,-0.48284122489644155,2.3261603280848036,2.3261603280848036
