vm_id,subscription_id,deployment_id,vm_created_ts,vm_deleted_ts,vm_category,core_count_bucket,memory_bucket,provisioned_vcpu,provisioned_memory_gb
vm_00000,sub_004,dep_0147,1726010323,,Interactive,large_8_16,xxlarge_64_128,8,64
vm_00001,sub_035,dep_0128,1710955859,,Delay-Insensitive,xlarge_16_32,xxlarge_64_128,16,64
vm_00002,sub_002,dep_0055,1684495623,,Delay-Insensitive,large_8_16,medium_8_16,8,8
vm_00003,sub_034,dep_0038,1740954936,,Interactive,xlarge_16_32,small_4_8,16,4
vm_00004,sub_033,dep_0082,1682400717,,Interactive,large_8_16,small_4_8,8,4
vm_00005,sub_014,dep_0045,1726735973,,Interactive,medium_4_8,xlarge_32_64,4,32
vm_00006,sub_014,dep_0087,1732314934,,Interactive,small_2_4,xxlarge_64_128,2,64
vm_00007,sub_036,dep_0001,1696917872,,Interactive,xxlarge_32_64,medium_8_16,32,8
vm_00008,sub_020,dep_0007,1704589672,,Delay-Insensitive,large_8_16,xlarge_32_64,8,32
vm_00009,sub_025,dep_0126,1709703302,,Interactive,small_2_4,xlarge_32_64,2,32
vm_00010,sub_019,dep_0055,1717178449,,Interactive,xlarge_16_32,medium_8_16,16,8
vm_00011,sub_019,dep_0132,1734669051,,Delay-Insensitive,large_8_16,xxlarge_64_128,8,64
vm_00012,sub_036,dep_0066,1712917056,,Interactive,xxlarge_32_64,xlarge_32_64,32,32
vm_00013,sub_042,dep_0030,1710260866,,Interactive,small_2_4,xlarge_32_64,2,32
vm_00014,sub_028,dep_0191,1696844984,,Interactive,small_2_4,medium_8_16,2,8
vm_00015,sub_034,dep_0193,1683244240,,Interactive,small_2_4,medium_8_16,2,8
vm_00016,sub_004,dep_0025,1733401948,,Delay-Insensitive,xlarge_16_32,large_16_32,16,16
vm_00017,sub_000,dep_0151,1703164001,,Interactive,large_8_16,xxlarge_64_128,8,64
vm_00018,sub_034,dep_0083,1732468066,1740955640.0,Interactive,medium_4_8,xlarge_32_64,4,32
vm_00019,sub_004,dep_0158,1697207727,,Interactive,small_2_4,medium_8_16,2,8
vm_00020,sub_043,dep_0083,1717216515,1740826468.0,Delay-Insensitive,small_2_4,large_16_32,2,16
vm_00021,sub_007,dep_0114,1708762105,,Delay-Insensitive,large_8_16,medium_8_16,8,8
vm_00022,sub_016,dep_0165,1686800633,1740900965.0,Interactive,xxlarge_32_64,medium_8_16,32,8
vm_00023,sub_030,dep_0048,1697916193,,Delay-Insensitive,medium_4_8,large_16_32,4,16
vm_00024,sub_010,dep_0007,1740805817,,Interactive,xlarge_16_32,medium_8_16,16,8
vm_00025,sub_014,dep_0126,1679940147,,Interactive,medium_4_8,xxlarge_64_128,4,64
vm_00026,sub_019,dep_0193,1681583285,1740864648.0,Interactive,medium_4_8,xxlarge_64_128,4,64
vm_00027,sub_021,dep_0063,1740941128,,Delay-Insensitive,xxlarge_32_64,xxlarge_64_128,32,64
vm_00028,sub_033,dep_0001,1693644583,,Interactive,large_8_16,medium_8_16,8,8
vm_00029,sub_016,dep_0119,1687929506,,Interactive,xxlarge_32_64,small_4_8,32,4
vm_00030,sub_043,dep_0086,1718816367,,Delay-Insensitive,medium_4_8,medium_8_16,4,8
vm_00031,sub_013,dep_0101,1730222593,,Interactive,small_2_4,medium_8_16,2,8
vm_00032,sub_032,dep_0165,1736677072,,Interactive,large_8_16,small_4_8,8,4
vm_00033,sub_022,dep_0132,1714149671,,Interactive,small_2_4,small_4_8,2,4
vm_00034,sub_024,dep_0168,1702092505,,Delay-Insensitive,xxlarge_32_64,xxlarge_64_128,32,64
vm_00035,sub_033,dep_0160,1679757494,,Interactive,small_2_4,small_4_8,2,4
vm_00036,sub_037,dep_0092,1720781088,,Interactive,xxlarge_32_64,small_4_8,32,4
vm_00037,sub_005,dep_0074,1685714349,,Interactive,medium_4_8,xxlarge_64_128,4,64
vm_00038,sub_011,dep_0198,1706079322,,Interactive,xxlarge_32_64,xxlarge_64_128,32,64
vm_00039,sub_008,dep_0164,1734169721,,Delay-Insensitive,xlarge_16_32,xxlarge_64_128,16,64
vm_00040,sub_012,dep_0091,1728768735,,Interactive,xxlarge_32_64,xxlarge_64_128,32,64
vm_00041,sub_023,dep_0136,1727632884,,Interactive,small_2_4,small_4_8,2,4
vm_00042,sub_022,dep_0036,1690255653,1741007813.0,Interactive,xxlarge_32_64,large_16_32,32,16
vm_00043,sub_002,dep_0185,1721123017,,Interactive,xlarge_16_32,large_16_32,16,16
vm_00044,sub_037,dep_0160,1740796179,1741004184.0,Interactive,large_8_16,small_4_8,8,4
vm_00045,sub_033,dep_0026,1691052399,,Delay-Insensitive,xxlarge_32_64,large_16_32,32,16
vm_00046,sub_017,dep_0049,1690770544,,Interactive,xxlarge_32_64,xxlarge_64_128,32,64
vm_00047,sub_022,dep_0073,1712981731,,Interactive,medium_4_8,small_4_8,4,4
vm_00048,sub_042,dep_0170,1690249562,,Interactive,small_2_4,xlarge_32_64,2,32
vm_00049,sub_024,dep_0106,1686874262,,Interactive,large_8_16,xxlarge_64_128,8,64
vm_00050,sub_031,dep_0183,1702061725,,Interactive,small_2_4,xlarge_32_64,2,32
vm_00051,sub_032,dep_0027,1694303919,,Interactive,small_2_4,xlarge_32_64,2,32
vm_00052,sub_035,dep_0018,1677917212,,Delay-Insensitive,large_8_16,large_16_32,8,16
vm_00053,sub_000,dep_0114,1700929499,,Interactive,medium_4_8,large_16_32,4,16
vm_00054,sub_022,dep_0027,1706884330,,Interactive,xlarge_16_32,xlarge_32_64,16,32
